epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3104.21,0.44626,0.71535,1.04108,0.99415,0.92593,0.95556,0.81784,0.56902,0.98598,0.9565,0.0009605,0.0009605,0.0009605
44,3175.7,0.41438,0.67286,1.00597,1,0.92585,0.94672,0.8407,0.54192,1.06066,0.95914,0.00093575,0.00093575,0.00093575
45,3245.9,0.46174,0.71522,1.05577,1,0.92459,0.93567,0.83388,0.54191,1.00527,0.92954,0.000911,0.000911,0.000911
46,3317.99,0.38073,0.62934,1.01795,1,0.92369,0.92957,0.81923,0.61957,0.95663,0.95062,0.00088625,0.00088625,0.00088625
47,3388.45,0.4441,0.6838,1.06117,0.99754,0.92593,0.93248,0.83722,0.57461,0.95208,0.95697,0.0008615,0.0008615,0.0008615
48,3460.29,0.41466,0.58776,1.01274,0.99863,0.92593,0.93142,0.83093,0.58138,0.91421,0.94862,0.00083675,0.00083675,0.00083675
49,3532.17,0.36364,0.61707,0.98373,1,0.92413,0.93412,0.82164,0.60653,0.89898,0.93885,0.000812,0.000812,0.000812
50,3603.98,0.43234,0.63309,1.01912,0.96119,0.92593,0.93089,0.85245,0.56809,0.94751,0.95966,0.00078725,0.00078725,0.00078725
51,3673.83,0.4344,0.64002,1.01637,0.95903,0.92593,0.92944,0.8267,0.65519,1.0437,1.01578,0.0007625,0.0007625,0.0007625
52,3744.42,0.37078,0.59872,1.00085,0.95885,0.92593,0.92839,0.83122,0.6053,1.01551,0.98317,0.00073775,0.00073775,0.00073775
53,3816.34,0.55434,0.70354,1.24397,0.99762,0.92593,0.93486,0.81829,0.58723,0.8079,0.99284,0.000713,0.000713,0.000713
54,3888.72,0.41149,0.62633,1.0296,0.99767,0.92593,0.93441,0.8492,0.51328,0.8078,0.94013,0.00068825,0.00068825,0.00068825
