epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2605.56,0.53455,1.0058,0.99311,0.8448,0.875,0.93989,0.73919,0.69449,1.36162,1.09315,0.0011684,0.0011684,0.0011684
44,2665.12,0.59171,0.92721,1.01041,0.74549,0.9375,0.93382,0.72966,0.77796,1.46335,1.11379,0.0011486,0.0011486,0.0011486
45,2724.19,0.61313,0.97098,1.05058,0.74155,0.9375,0.92189,0.72256,0.74546,1.54842,1.14516,0.0011288,0.0011288,0.0011288
46,2783.67,0.53318,0.86793,0.96131,0.81822,0.84489,0.90874,0.65748,0.7316,1.67517,1.16888,0.001109,0.001109,0.001109
47,2843.84,0.5865,1.0744,1.03101,0.83697,0.9375,0.93231,0.73403,0.70559,1.36371,1.12255,0.0010892,0.0010892,0.0010892
48,2904.24,0.69232,1.05983,1.08567,0.92847,0.81138,0.94306,0.77763,0.74257,1.24138,1.13123,0.0010694,0.0010694,0.0010694
49,2963.91,0.5994,1.0223,1.03797,0.96269,0.875,0.96968,0.78191,0.79695,1.2542,1.12931,0.0010496,0.0010496,0.0010496
50,3022.67,0.60039,0.94962,1.03802,0.82423,1,0.94605,0.78431,0.68102,1.43778,1.10153,0.0010298,0.0010298,0.0010298
51,3083.05,0.6017,0.95398,1.03429,0.8859,1,0.96143,0.78144,0.72525,1.52594,1.1122,0.00101,0.00101,0.00101
52,3143.81,0.6002,1.00303,1.01622,0.93359,0.875,0.98178,0.75773,0.69651,1.35373,1.16513,0.0009902,0.0009902,0.0009902
53,3204.5,0.61025,1.08485,1.0724,0.92958,0.82579,0.967,0.79235,0.59734,1.28138,1.08945,0.0009704,0.0009704,0.0009704
54,3264.8,0.50305,0.85981,0.94953,1,0.81112,0.9585,0.78303,0.58567,1.17033,1.06594,0.0009506,0.0009506,0.0009506
55,3324.12,0.55589,0.88361,1.04816,0.99979,0.8125,0.96408,0.79473,0.60135,1.10578,1.05925,0.0009308,0.0009308,0.0009308
56,3383.35,0.54161,0.83036,1.0208,0.92259,0.9375,0.97113,0.80182,0.64215,1.05663,1.06609,0.000911,0.000911,0.000911
57,3442.75,0.51863,0.84583,0.98012,0.82138,1,0.95091,0.77717,0.66564,1.09511,1.05097,0.0008912,0.0008912,0.0008912
58,3501.15,0.60514,1.03425,1.06146,0.8299,1,0.94925,0.79233,0.64398,1.06025,1.05654,0.0008714,0.0008714,0.0008714
59,3560.34,0.51217,0.89577,1.048,0.88627,1,0.98458,0.8215,0.59128,0.98827,1.04279,0.0008516,0.0008516,0.0008516
60,3618.57,0.5197,0.87225,0.99115,0.93587,1,0.99147,0.83099,0.57471,0.99522,1.03314,0.0008318,0.0008318,0.0008318
61,3678.18,0.56732,0.96777,1.05482,0.93561,1,0.98794,0.81605,0.5766,0.99464,1.02736,0.000812,0.000812,0.000812
62,3738.37,0.6413,0.94638,1.07423,0.93497,1,0.99147,0.83602,0.59005,1.01318,1.04151,0.0007922,0.0007922,0.0007922
63,3797.79,0.52632,0.8436,1.01255,0.99796,1,0.995,0.83798,0.59661,1.06621,1.06078,0.0007724,0.0007724,0.0007724
64,3861.19,0.5138,0.76533,0.98441,0.88357,1,0.98083,0.81358,0.65079,1.12054,1.12423,0.0007526,0.0007526,0.0007526
65,3923.99,0.52666,0.77078,1.00621,0.881,1,0.98441,0.79658,0.71357,1.09121,1.20933,0.0007328,0.0007328,0.0007328
66,3993.68,0.47945,0.71794,0.9755,0.9115,1,0.98029,0.83177,0.64924,1.0464,1.15512,0.000713,0.000713,0.000713
67,4053.13,0.49139,0.74111,0.97689,0.91157,1,0.98794,0.84529,0.60192,1.03969,1.1072,0.0006932,0.0006932,0.0006932
68,4117.21,0.48534,0.75301,0.95908,0.89104,0.9375,0.98458,0.83811,0.61205,0.9749,1.09055,0.0006734,0.0006734,0.0006734
69,4176.97,0.51021,0.79192,0.9708,0.93733,0.93488,0.98794,0.83741,0.61246,0.95448,1.08486,0.0006536,0.0006536,0.0006536
70,4236.75,0.51618,0.91654,1.02721,0.96393,1,0.995,0.84815,0.60607,0.89338,1.08593,0.0006338,0.0006338,0.0006338
71,4295.99,0.44761,0.74402,0.93687,0.9929,1,0.995,0.83635,0.61178,0.91866,1.10202,0.000614,0.000614,0.000614
72,4358.72,0.49283,0.73185,0.9625,1,0.98879,0.995,0.84143,0.64639,1.01307,1.11238,0.0005942,0.0005942,0.0005942
73,4421.72,0.50551,0.70902,1.0002,0.93111,1,0.99147,0.80936,0.65005,1.05289,1.10121,0.0005744,0.0005744,0.0005744
74,4485.23,0.49187,0.81898,0.97824,0.974,1,0.995,0.84215,0.60464,1.02632,1.11543,0.0005546,0.0005546,0.0005546
75,4547.3,0.50084,0.71697,0.96264,1,0.98174,0.995,0.86474,0.5931,1.00903,1.10683,0.0005348,0.0005348,0.0005348
76,4606.83,0.40017,1.18509,0.90164,0.92813,1,0.99147,0.86272,0.58724,0.96741,1.10139,0.000515,0.000515,0.000515
