epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,521.752,0.98786,5.27161,0.63689,0.94981,1.21671,0.85557,1,0.96571,0.65042,0.62246,0.75,0.58212,0.15791,1.08549,4.34763,0.42109,0.94827,1.66326,0.0017327,0.0017327,0.0017327
29,539.839,0.93202,5.23864,0.64994,0.91328,1.16856,0.91246,1,0.98029,0.68377,0.76856,0.875,0.8055,0.21318,1.08059,4.50487,0.40435,0.95361,1.52139,0.0017228,0.0017228,0.0017228
30,557.826,1.06978,5.91501,0.62623,0.96807,1.27007,0.83439,0.945,0.96339,0.71212,0.71552,0.6875,0.60838,0.13777,0.99027,4.8741,0.40329,0.82515,1.30034,0.0017129,0.0017129,0.0017129
31,575.845,1.01426,5.33674,0.61215,0.90375,1.22631,0.88039,0.92082,0.96212,0.69998,0.68824,0.55259,0.51648,0.1697,0.96584,5.11831,0.42643,0.84416,1.25551,0.001703,0.001703,0.001703
32,594.023,0.96434,5.48799,0.5844,0.88716,1.17154,0.75468,0.8125,0.86998,0.64573,0.90782,0.61623,0.61955,0.18632,1.06434,5.36218,0.44044,1.06136,1.35061,0.0016931,0.0016931,0.0016931
33,611.694,0.91529,4.86672,0.64859,0.84701,1.18553,0.93193,0.85664,0.94838,0.67548,0.733,0.6864,0.66069,0.23492,0.86818,4.4806,0.4509,0.87751,1.20653,0.0016832,0.0016832,0.0016832
34,629.732,0.87667,5.09622,0.63984,0.79033,1.15934,0.92574,0.9375,0.97321,0.72294,0.85797,0.875,0.81167,0.25785,0.8806,4.43754,0.43947,0.97113,1.1846,0.0016733,0.0016733,0.0016733
35,647.47,0.9358,5.12893,0.58046,0.80269,1.21518,0.94105,1,0.99147,0.76926,0.57404,0.625,0.37429,0.09257,0.8324,4.48744,0.436,0.97448,1.17716,0.0016634,0.0016634,0.0016634
36,665.68,0.86393,4.9615,0.61293,0.78182,1.11314,0.81876,1,0.9448,0.74026,0.30535,0.4375,0.16942,0.05166,0.78175,4.93966,0.45293,0.96619,1.20038,0.0016535,0.0016535,0.0016535
37,683.464,0.88337,4.97699,0.60592,0.80433,1.15237,0.83106,0.923,0.95939,0.79159,0.5639,0.6875,0.5388,0.17958,0.73228,4.57896,0.4388,0.86471,1.18134,0.0016436,0.0016436,0.0016436
38,701.308,0.93481,4.7658,0.64869,0.85192,1.14194,0.93655,1,0.98441,0.79092,0.8152,0.875,0.78446,0.33246,0.82391,4.38184,0.43096,0.79555,1.18308,0.0016337,0.0016337,0.0016337
39,719.416,0.97698,5.5299,0.61989,0.86003,1.20257,0.93967,0.97447,0.98441,0.71793,0.93967,0.97447,0.98441,0.33757,0.87539,4.34163,0.4181,0.84282,1.25122,0.0016238,0.0016238,0.0016238
40,737.331,0.95284,4.68409,0.62337,0.81854,1.15472,1,0.92343,0.983,0.7151,0.85608,0.74397,0.65643,0.15341,0.98804,4.69435,0.40709,0.88211,1.32861,0.0016139,0.0016139,0.0016139
41,755.43,0.86066,4.60803,0.63356,0.81718,1.17764,0.88278,1,0.98029,0.72526,0.60168,0.6875,0.49471,0.16389,0.9381,4.52979,0.42852,0.91155,1.30365,0.001604,0.001604,0.001604
42,773.282,0.90454,4.5428,0.64963,0.81905,1.16193,0.89919,1,0.98029,0.75423,0.67821,0.75,0.66,0.20641,0.77261,4.325,0.43043,1.13198,1.25251,0.0015941,0.0015941,0.0015941
43,791.245,0.87521,4.37004,0.65465,0.80213,1.1944,0.85332,0.9375,0.95762,0.71984,0.78222,0.75,0.745,0.29932,0.82094,4.36629,0.44078,1.13117,1.25128,0.0015842,0.0015842,0.0015842
44,809.369,0.9919,5.05841,0.62435,0.88831,1.27099,0.86557,0.9375,0.92273,0.69867,0.77079,0.6875,0.66094,0.1901,0.79812,4.80435,0.48578,0.99112,1.19689,0.0015743,0.0015743,0.0015743
45,827.242,0.89259,4.72949,0.66683,0.8275,1.19837,0.92117,0.9375,0.9395,0.76739,0.73666,0.75,0.687,0.25689,0.77051,4.6285,0.45101,0.83336,1.16658,0.0015644,0.0015644,0.0015644
46,845.308,0.81818,4.88978,0.62715,0.76269,1.10137,0.92744,0.9375,0.98833,0.77213,0.63607,0.625,0.585,0.25896,0.84167,4.39139,0.37194,0.79053,1.32761,0.0015545,0.0015545,0.0015545
47,863.266,0.80601,3.90868,0.66729,0.74956,1.12549,0.8703,0.9375,0.97321,0.74516,0.57741,0.625,0.60768,0.24116,0.96142,4.17917,0.38018,0.78258,1.4774,0.0015446,0.0015446,0.0015446
48,881.075,0.78084,4.19014,0.65641,0.74246,1.12054,0.92499,1,0.98794,0.74572,0.674,0.77612,0.69581,0.25915,0.83014,4.12269,0.38242,0.7577,1.38287,0.0015347,0.0015347,0.0015347
49,898.883,0.78845,4.34063,0.64282,0.73183,1.11273,0.9411,0.99868,0.98029,0.79099,0.82042,0.875,0.78288,0.26488,0.8116,4.03191,0.39297,0.74644,1.3031,0.0015248,0.0015248,0.0015248
50,916.694,0.92921,4.48909,0.63676,0.7973,1.1893,0.91057,0.9375,0.96301,0.76536,0.91057,0.9375,0.96301,0.2592,0.81099,3.77698,0.40527,0.77888,1.27014,0.0015149,0.0015149,0.0015149
51,934.56,0.88629,4.56709,0.64671,0.79665,1.12375,0.9812,0.75,0.93519,0.78654,0.9812,0.75,0.92829,0.21706,0.68148,3.86702,0.41106,0.76634,1.14317,0.001505,0.001505,0.001505
52,952.497,0.77329,4.38894,0.59796,0.70043,1.04812,0.8752,0.9375,0.96111,0.8111,0.63688,0.6875,0.56448,0.12601,0.71354,4.07112,0.4074,0.80831,1.1417,0.0014951,0.0014951,0.0014951
53,970.57,0.71138,4.275,0.62192,0.68038,1.0266,0.93893,0.96183,0.99147,0.81256,0.63851,0.6875,0.47444,0.11698,0.66194,4.35947,0.39889,0.76546,1.15453,0.0014852,0.0014852,0.0014852
54,988.227,0.78344,4.48451,0.6092,0.65948,1.11557,0.88792,0.9375,0.98833,0.82736,0.60839,0.625,0.5071,0.12828,0.69021,4.36347,0.41169,0.78265,1.13125,0.0014753,0.0014753,0.0014753
